"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"11306","Denis Sobolev","loss","Roman Savochka","Brilliant 2 - Yalta's Brilliant 2000Aug / 11 / 2000","Submission (Rear-Naked Choke)N/A","1","0:27"
"12284","Denis Sobolev","win","Gogita Beruashvili","Brilliant 2 - Yalta's Brilliant 2000Aug / 11 / 2000","KO (Knee to the Body)N/A","1","4:44"
"21370","Clayton Miller","loss","Dennis Reed","IC 32 - Iowa Challenge 32Oct / 07 / 2006","TKON/A","1","0:15"
"31025","Clayton Miller","win","Dillon Kalvig","CVFA - Caged CombatJun / 24 / 2006","Submission (Triangle Choke)N/A","1","0:45"
"4767","Clayton Miller","win","Shawn Nolan","AFA - The Octagon 2Jun / 10 / 2005","TKO (Punches)N/A","1","1:46"
"5547","Clayton Miller","win","Mike Van Meer","IC - Iowa ChallengeJan / 22 / 2005","Submission (Armbar)N/A","2","0:00"
"6453","Clayton Miller","win","Bruce Nelson","DFC 2 - ReloadedSep / 25 / 2004","Submission (Triangle Choke)N/A","1","2:11"
"7400","Clayton Miller","win","Scott Walker","IFA - Ultimate TrialsFeb / 21 / 2004","TKO (Submission to Punches)N/A","2","1:32"
"8372","Clayton Miller","win","Eric Lambert","AFA - Battle For the Belts 2Jan / 23 / 2004","Submission (Crucifix)N/A","1","N/A"
"9341","Clayton Miller","win","Davey Conger","IC 11 - Iowa Challenge 11Oct / 18 / 2003","Submission (Guillotine Choke)N/A","2","0:00"
"10324","Clayton Miller","win","Chris Brown","IC 10 - Iowa Challenge 10Aug / 30 / 2003","TKON/A","2","0:45"
"11307","Clayton Miller","win","Davey Conger","AFA - Battle For the BeltsJul / 12 / 2003","Submission (Neck Crank)N/A","1","2:16"
"12285","Clayton Miller","win","Matt Albright","AFA - Battle For the BeltsJul / 12 / 2003","TKO (Submission to Punches)N/A","1","1:14"
"13261","Clayton Miller","win","Jason  Miller","IC 8 - Iowa Challenge 8Jan / 11 / 2003","TKO (Submission to Punches)N/A","1","1:04"
"14251","Clayton Miller","loss","Bruce Nelson","IFA - Friday Night TournamentNov / 01 / 2002","Submission (Armbar)N/A","1","4:32"
"15235","Clayton Miller","win","Kareema Bennett","IFA - Friday Night TournamentNov / 01 / 2002","Submission (Heel Hook)N/A","1","1:01"
"16229","Clayton Miller","win","Tom Schoellen","IFA - Friday Night TournamentNov / 01 / 2002","Submission (Rear-Naked Choke)N/A","1","1:28"
"17215","Clayton Miller","win","Davey Conger","IC 7 - Iowa Challenge 7Oct / 26 / 2002","TKO (Submission to Strikes)N/A","0","0:00"
"18208","Clayton Miller","win","Bruce Nelson","IC 3 - Iowa Challenge 3Sep / 22 / 2001","TKO (Elbows)N/A","2","0:53"
"19196","Clayton Miller","win","Steve Miller","ICE 2 - Iowa Challenge Eliminations 2Aug / 13 / 2001","Submission (Guillotine Choke)N/A","2","0:40"
"20182","Clayton Miller","draw","Travis Fulton","ICE 1 - Iowa Challenge Eliminations 1Apr / 28 / 2001","DrawN/A","1","10:00"
"21371","Clayton Miller","loss","Ron Faircloth","FCC 4 - Freestyle Combat Challenge 4Mar / 31 / 2001","TKO (Submission to Punches)N/A","1","2:35"
"22221","Clayton Miller","win","Anthony Seu","IEF 6 - Iowa Extreme Fighting 6Feb / 17 / 2001","TKON/A","1","3:31"
"23200","Clayton Miller","win","Troy Rugger","IC 1 - Iowa Challenge 1Feb / 10 / 2001","TKO (Punches)N/A","1","N/A"
"24186","Clayton Miller","loss","Scott Ventimiglia","SFC - Submission Fighting Championships 11Aug / 23 / 2000","TKO (Punches)N/A","1","0:11"
"25167","Clayton Miller","loss","Matt Andersen","Gladiators 8 - Gladiators 8Jul / 22 / 2000","TKON/A","0","0:00"
"26156","Clayton Miller","loss","Matt Andersen","Gladiators 7 - Gladiators 7Jul / 14 / 2000","TKO (Punches)N/A","0","N/A"
"27146","Clayton Miller","loss","Brian Dunn","EC 35 - Extreme Challenge 35Jun / 29 / 2000","Submission (Guillotine Choke)N/A","1","1:21"
"28141","Clayton Miller","win","Tom Ansell","EC 32 - Extreme Challenge 32May / 21 / 2000","Decision (Split)N/A","1","15:00"
"29133","Clayton Miller","win","Jim Axtell","Gladiators 5 - Gladiators 5May / 06 / 2000","KON/A","0","0:00"
"30121","Clayton Miller","win","Jim Axtell","Gladiators 6 - Gladiators 6Apr / 21 / 2000","TKO (Submission to Strikes)N/A","0","0:00"
"31187","Clayton Miller","loss","Joe Geromiller","TFC 1 - Fightzone 1Feb / 26 / 2000","TKO (Punches)N/A","1","5:08"
"32164","Clayton Miller","win","Brad Schafer","IFF 1 - Iowa Free Fight 1Jan / 15 / 2000","Submission (Keylock)N/A","1","1:29"
"33140","Clayton Miller","win","Shane Bailey","IFF 1 - Iowa Free Fight 1Jan / 15 / 2000","Submission (Armbar)N/A","1","2:39"
"34130","Clayton Miller","win","Troy Midthus","IEF 5 - Iowa Extreme Fighting 5Nov / 28 / 1999","Submission (Neck Crank)N/A","1","0:26"
"35122","Clayton Miller","win","Kevin Leemon","IEF 5 - Iowa Extreme Fighting 5Nov / 28 / 1999","Submission (Guillotine Choke)N/A","1","1:13"
"36115","Clayton Miller","loss","Randy Collender","CC 5 - Cage Combat 5Oct / 24 / 1999","Submission (Rear-Naked Choke)N/A","1","0:34"
"37106","Clayton Miller","loss","Dean Stone","Kickfest 2 - Kickfest 2Oct / 09 / 1999","Submission (Heel Hook)N/A","1","1:57"
"38104","Clayton Miller","loss","Pat Miletich","CC 2 - Cage Combat 2May / 30 / 1999","Submission (Triangle Choke)N/A","1","0:40"
"39100","Clayton Miller","win","Tim Wills","ES - Extreme ShootfightingDec / 11 / 1998","TKO (Submission to Punches)N/A","1","1:21"
"4069","Clayton Miller","win","Ben Clancy","CC 1 - Cage Combat 1Dec / 08 / 1998","Submission (Achilles Lock)N/A","1","9:05"
"41151","Clayton Miller","win","Jamie Schell","SIUF 3 - Southern Iowa Ultimate Fighting 3Nov / 12 / 1998","Submission (Armbar)N/A","1","5:45"
"42128","Clayton Miller","win","Vern Jefferson","IEF 3 - Iowa Extreme Fighting 3Oct / 29 / 1998","Submission (Heel Hook)N/A","1","0:45"
"43114","Clayton Miller","win","Jason Powers","IEF 3 - Iowa Extreme Fighting 3Oct / 29 / 1998","SubmissionN/A","1","4:49"
"44109","Clayton Miller","loss","Rick Graveson","IEF 3 - Iowa Extreme Fighting 3Oct / 29 / 1998","TKON/A","1","0:45"
"45103","Clayton Miller","win","Kyle Baker","IEF 3 - Iowa Extreme Fighting 3Oct / 29 / 1998","Submission (Ankle Lock)N/A","1","3:28"
"46100","Clayton Miller","win","Bob Waters","MFC 2 - Midwest Fighting 2Sep / 28 / 1998","Submission (Kimura)N/A","1","3:30"
"4768","Clayton Miller","loss","Jeremy Horn","MFC 2 - Midwest Fighting 2Sep / 28 / 1998","TKO (Punches)N/A","1","3:27"
"4853","Clayton Miller","win","Dave Kirshman","MFC 1 - Midwest Fighting 1Jul / 28 / 1998","Submission (Triangle Choke)N/A","1","1:15"
"4950","Clayton Miller","loss","Felix Mitchell","MFC 1 - Midwest Fighting 1Jul / 28 / 1998","TKO (Submission to Punches)N/A","1","1:01"
"5045","Clayton Miller","loss","Anthony Rhoads","SIUF 1 - Southern Iowa Ultimate Fighting 1Jun / 25 / 1998","TKO (Submission to Punches)N/A","1","22:03"
"51129","Clayton Miller","loss","Joe Merit","IFC 8 - Showdown at Shooting StarJun / 20 / 1998","TKO (Punches)N/A","1","0:49"
"52111","Clayton Miller","loss","Travis Fulton","IVTC 3 - Iowa Vale Tudo Championships 3Apr / 10 / 1998","Submission (Armbar)N/A","1","2:20"
"53103","Clayton Miller","win","Mike Gramlich","IVTC 3 - Iowa Vale Tudo Championships 3Apr / 10 / 1998","Submission (Rear-Naked Choke)N/A","1","2:55"
"54100","Clayton Miller","win","Mike Gramlich","IVTC 2 - Iowa Vale Tudo Championships 2Mar / 09 / 1998","Submission (Arm-Triangle Choke)N/A","1","2:05"
"5548","Clayton Miller","loss","Noah Youngs","IVTC 2 - Iowa Vale Tudo Championships 2Mar / 09 / 1998","Submission (Armbar)N/A","1","0:26"
"5632","Clayton Miller","loss","Sam Adkins","RnB 2 - Bare Knuckle BrawlFeb / 20 / 1998","Submission (Guillotine Choke)N/A","1","0:26"
"5732","Clayton Miller","loss","Mark Jaquith","IVTC 1 - Iowa Vale Tudo Championships 1Dec / 29 / 1997","TKO (Submission to Punches)N/A","1","0:56"
"5832","Clayton Miller","loss","Dan Croonquist","IVTC 1 - Iowa Vale Tudo Championships 1Dec / 29 / 1997","Submission (Guillotine Choke)N/A","1","2:45"
"5931","Clayton Miller","win","Ben Pearce","IVTC 1 - Iowa Vale Tudo Championships 1Dec / 29 / 1997","Submission (Armbar)N/A","1","2:47"
"6022","Clayton Miller","win","Bob Waters","EC 11 - Extreme Challenge 11Nov / 22 / 1997","SubmissionN/A","1","2:55"
"61110","Clayton Miller","loss","Travis Fulton","IEF 1 - Iowa Extreme Fighting 1Sep / 10 / 1997","Submission (Triangle Choke)N/A","1","0:51"
"62103","Clayton Miller","win","Ben Smaldino","IEF 1 - Iowa Extreme Fighting 1Sep / 10 / 1997","TKO (Punches)N/A","1","1:17"
"63100","Clayton Miller","win","Dan Croonquist","IEF 1 - Iowa Extreme Fighting 1Sep / 10 / 1997","TKO (Submission to Punches)N/A","1","5:08"
"6454","Clayton Miller","loss","Chad  Cox","EC 7 - Extreme Challenge 7Jun / 25 / 1997","TKO (Submission to Punches)N/A","1","3:46"
"6524","Clayton Miller","loss","Chris Thome","UE - Ultimate EnticerJun / 24 / 1997","TKO (Submission to Strikes)N/A","1","0:56"
"6623","Clayton Miller","loss","Tyrone Roberts","UE - Ultimate EnticerJun / 24 / 1997","TKO (Submission to Strikes)N/A","1","0:15"
"6723","Clayton Miller","loss","Todd Frederickson","EC 3 - Extreme Challenge 3Feb / 15 / 1997","Submission (Armbar)N/A","1","2:59"
"6821","Clayton Miller","loss","Travis Fulton","EC 1 - Extreme Challenge 1Nov / 23 / 1996","KO (Punches and Elbows)N/A","1","3:09"
"21372","Adam Castaneda","win","Joe Lunn","Reality Fighting - FerocityNov / 07 / 2009","TKO (Punches)N/A","3","1:40"
"31026","Adam Castaneda","win","J.F. Bolduc","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","DisqualificationN/A","1","7:30"
"4769","Adam Castaneda","win","Steve Cutler","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Decision (Unanimous)N/A","2","8:00"
"5549","Adam Castaneda","win","Danny Henderson","CFF - The Cobra Challenge 1999Dec / 11 / 1999","TKO (Punches)N/A","1","0:59"
"6455","Adam Castaneda","win","Cruz Gomez","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Armbar)N/A","1","2:32"
"21373","Matt Omeara","loss","Joe Hurley","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","KO (Punch)N/A","1","0:06"
"21374","Dennis Muehy","loss","Gil Castillo","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Submission (Armbar)N/A","1","1:17"
"21375","Robert Burja","loss","Sean McCann","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Submission (Heel Hook)N/A","1","7:37"
"21376","Sean McCann","loss","Toby Imada","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Submission (Armbar)N/A","1","2:51"
"31027","Sean McCann","win","Robert Burja","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Submission (Heel Hook)N/A","1","7:37"
"21377","Frank Colcher","loss","Jake Hattan","MFC 4 - New GroundzJun / 01 / 2002","Decision (Unanimous)N/A","3","5:00"
"31028","Frank Colcher","loss","Jason Townes","WFF 1 - World Freestyle Fighting  1Apr / 13 / 2002","TKO (Shoulder Injury)N/A","1","3:23"
"4770","Frank Colcher","win","Andy Social","MFC 3 - Canadian PrideMar / 03 / 2002","KO (Punches)N/A","1","0:53"
"5550","Frank Colcher","loss","Max Marin","MFC 2 - Rumble at the JungleNov / 24 / 2001","Submission (Fatigue)N/A","0","N/A"
"6456","Frank Colcher","win","Matt Philips","WCT - Western Canada's ToughestJul / 13 / 2001","Submission (Heel Hook)N/A","1","1:00"
"7401","Frank Colcher","loss","Charles Diaz","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","TKO (Injury)N/A","1","9:15"
"8373","Frank Colcher","win","Murrey Sholtey","TC - Toshido Challenge 2Feb / 26 / 2000","DecisionN/A","1","10:00"
"9342","Frank Colcher","win","Mark Fraser","IFC - Battleground 2000Jan / 22 / 2000","Submission (Triangle Choke)N/A","1","7:00"
"21378","Gabriel Duran","loss","Jim Theobald","ROF 2 - Trial By FireFeb / 10 / 2001","Submission (Rear-Naked Choke)Tim Catalfo","1","1:58"
"31029","Gabriel Duran","loss","Cedric Marks","VTM 2 - Vale Tudo Mexico 2Aug / 28 / 2000","N/AN/A","0","0:00"
"4771","Gabriel Duran","loss","Joey Villasenor","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Submission (Triangle Choke)N/A","1","2:31"
"5551","Gabriel Duran","loss","Cedric Marks","ES - Extreme ShootoutNov / 13 / 1999","TKO (Strikes)N/A","0","0:00"
"6457","Gabriel Duran","loss","Cedric Marks","AS - American ShootwrestlingJul / 24 / 1999","SubmissionN/A","0","0:00"
"7402","Gabriel Duran","loss","Cedric Marks","PRW - Power Ring WarriorsJul / 23 / 1998","Submission (Verbal)N/A","1","0:00"
"21379","Jeff Rosenbaum","loss","Charles Diaz","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","TKO (Submission to Strikes)N/A","2","2:30"
"31030","Jeff Rosenbaum","win","Brent Medley","USWF 7 - Unified Shoot Wrestling Federation 7Oct / 18 / 1997","Submission (Rear-Naked Choke)N/A","1","1:56"
"21380","Lee Cox","loss","Steve Cutler","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Rear-Naked Choke)N/A","1","4:51"
"31031","Lee Cox","loss","Toby Imada","NG 6 - Neutral Grounds 6Aug / 02 / 1998","Submission (Armbar)N/A","1","N/A"
"21381","Dave Brunner","win","Ryan Chenoweth","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Rear-Naked Choke)N/A","1","5:20"
"21382","Ryan Chenoweth","loss","Jason Meaders","CFF - The Cobra Challenge 2000Jun / 03 / 2000","TKON/A","0","0:00"
"31032","Ryan Chenoweth","loss","Dave Brunner","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Rear-Naked Choke)N/A","1","5:20"
"4772","Ryan Chenoweth","win","Kahil Moreland","WCNHBC - West Coast NHB Championships 1Dec / 08 / 1998","TKO (Submission to Punches)Earl Lux","1","1:31"
"21383","Shane Kenefick","NC","Steve Hernandez","IFC WC 21 - Warriors Challenge 21Jun / 03 / 2006","No ContestN/A","1","0:00"
"31033","Shane Kenefick","win","Jody Smith","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","TKON/A","1","4:51"
"21384","Jody Smith","loss","Aaron Steed","IFC WC 5 - Warriors Challenge 5Sep / 18 / 1999","N/AN/A","0","N/A"
"31034","Jody Smith","loss","Shane Kenefick","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","TKON/A","1","4:51"
"4773","Jody Smith","loss","Toby Oberdine","IFC WC 3 - Warriors Challenge 3Jun / 29 / 1999","Submission (Guillotine Choke)N/A","1","N/A"
"21385","Willy Solorio","NC","Eddy Ellis","IFC WC 18 - Big Valley BrawlJul / 19 / 2003","No ContestN/A","0","N/A"
"31035","Willy Solorio","loss","Randy Spence","IFC - Night of the Warriors 2Sep / 21 / 2002","Submission (Armbar)N/A","1","1:13"
"4774","Willy Solorio","loss","Benji Radach","IFC WC 16 - Warriors Challenge 16Nov / 09 / 2001","TKO (Punches)N/A","1","1:23"
"5552","Willy Solorio","loss","Dax Bruce","IFC WC 15 - Warriors Challenge 15Aug / 31 / 2001","Submission (Rear-Naked Choke)N/A","1","1:45"
"6458","Willy Solorio","loss","Mike Jonet","IFC WC 12 - Warriors Challenge 12Apr / 11 / 2001","Submission (Rear-Naked Choke)N/A","1","0:49"
"7403","Willy Solorio","loss","Troy O'Connor","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Armbar)N/A","1","2:02"
"21386","Troy O'Connor","loss","Dan Rizzuto","WFF 8 - DominanceMar / 26 / 2005","Submission (Rear-Naked Choke)N/A","1","2:11"
"31036","Troy O'Connor","loss","Hank Weiss","SF 3 - DomeApr / 17 / 2004","TKO (Punches)N/A","1","2:11"
"4775","Troy O'Connor","win","Willy Solorio","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Armbar)N/A","1","2:02"
"21387","Adam Webster","win","Andrew Campbell","MWP - PromotionsApr / 13 / 2006","KON/A","2","0:00"
"31037","Adam Webster","loss","Brad Thompson","XFC 10 - Xtreme Fighting Championships 10Mar / 03 / 2006","Submission (Rear-Naked Choke)N/A","1","1:09"
"4776","Adam Webster","win","Terry O'Neil","XFC 8 - Xtreme Fighting Championships 8Sep / 30 / 2005","TKO (Corner Stoppage)N/A","2","N/A"
"21388","John Duncan","loss","Abraham Baxter","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","TKON/A","1","0:52"
"21389","Mike Eary","loss","Abraham Baxter","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","TKO (Injury)N/A","1","4:00"
"31038","Mike Eary","win","Toby Oberdine","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Rear-Naked Choke)N/A","1","1:32"
"4777","Mike Eary","loss","Steve Heath","IFC WC 3 - Warriors Challenge 3Jun / 29 / 1999","Submission (Choke)N/A","1","N/A"
"21390","David Ross","loss","Scott Adams","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Kneebar)N/A","1","0:33"
"31039","David Ross","loss","Tim Lajcik","IFC WC 2 - Warriors Challenge 2May / 23 / 1998","TKON/A","1","5:36"
"4778","David Ross","win","Sam Zamarron","IFC WC 2 - Warriors Challenge 2May / 23 / 1998","Submission (Neck Crank)N/A","1","4:27"
"21391","Amhad Amhad","loss","Scott Adams","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Heel Hook)N/A","1","1:23"
"31040","Amhad Amhad","win","Brett Mackey","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Armbar)N/A","1","0:30"
"21392","Brett Mackey","loss","J.J. Pugsley","KOTC 31 - King of the Cage 31Dec / 06 / 2003","Submission (Choke)N/A","1","1:32"
"31041","Brett Mackey","loss","Amhad Amhad","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Armbar)N/A","1","0:30"
"21393","Rick Graveson","win","Solomon Hutcherson","FCC 8 - Freestyle Combat Challenge 8Oct / 04 / 2002","Submission (Rear-Naked Choke)N/A","0","N/A"
"31042","Rick Graveson","loss","Phil Henderson","EC 43 - Extreme Challenge 43Sep / 08 / 2001","Submission (Guillotine Choke)N/A","2","2:43"
"4779","Rick Graveson","NC","Brad Lynde","EC 40 - Extreme Challenge 40Jun / 16 / 2001","No ContestN/A","0","0:00"
"5553","Rick Graveson","loss","Paul Ano","SB 21 - SuperBrawl 21May / 24 / 2001","Submission (Kimura)N/A","1","0:00"
"6459","Rick Graveson","win","Nick Simon","Gladiators 14 - Gladiators 14May / 11 / 2001","Submission (Triangle Choke)N/A","1","N/A"
"7404","Rick Graveson","loss","Jay Martinez","Superbrawl 19 - Futurebrawl 2000Nov / 14 / 2000","Submission (Keylock)N/A","1","1:12"
"8374","Rick Graveson","loss","Mark Waters","EC 36 - Extreme Challenge 36Aug / 26 / 2000","Submission (Leg Lock)N/A","1","2:16"
"9343","Rick Graveson","win","James Terrill","EC 34 - Extreme Challenge 34Jun / 17 / 2000","KO (Punch)N/A","1","0:36"
"10325","Rick Graveson","win","Ron Fields","EC 34 - Extreme Challenge 34Jun / 17 / 2000","Submission (Armbar)N/A","1","0:37"
"11308","Rick Graveson","win","John Reed","CC 5 - Cage Combat 5Oct / 24 / 1999","Submission (Armbar)N/A","1","2:02"
"12286","Rick Graveson","loss","Joe Doerksen","EC 27 - Extreme Challenge 27Aug / 21 / 1999","Submission (Kimura)N/A","1","1:14"
"13262","Rick Graveson","win","John Renken","EC 26 - Extreme Challenge 26Jul / 21 / 1999","TKO (Cut)N/A","2","3:55"
"14252","Rick Graveson","win","Ben Eaton","EB 2 - Extreme Boxing 2Feb / 17 / 1999","TKO (Submission to Strikes)N/A","1","9:30"
"15236","Rick Graveson","win","Clayton Miller","IEF 3 - Iowa Extreme Fighting 3Oct / 29 / 1998","TKON/A","1","0:45"
"16230","Rick Graveson","win","Dan Croonquist","IEF 3 - Iowa Extreme Fighting 3Oct / 29 / 1998","Submission (Rear-Naked Choke)N/A","1","0:50"
"17216","Rick Graveson","win","Ken Luther","MFC 2 - Midwest Fighting 2Sep / 28 / 1998","TKO (Submission to Punches)N/A","1","0:16"
"18209","Rick Graveson","win","Matt Frost","MFC 2 - Midwest Fighting 2Sep / 28 / 1998","TKO (Submission to Punches)N/A","1","0:30"
"19197","Rick Graveson","win","Jason Powers","IVTC 3 - Iowa Vale Tudo Championships 3Apr / 10 / 1998","Submission (Armbar)N/A","1","2:20"
"20183","Rick Graveson","win","Mike Gramlich","IVTC 3 - Iowa Vale Tudo Championships 3Apr / 10 / 1998","Submission (Armbar)N/A","1","1:34"
"21394","Rick Graveson","loss","Bobby Hoffman","RnB 2 - Bare Knuckle BrawlFeb / 20 / 1998","TKO (Submission to Punches)N/A","1","3:08"
"22222","Rick Graveson","loss","Rick Petefish","EC 8 - Extreme Challenge 8Aug / 09 / 1997","Technical Submission (Guillotine Choke)N/A","1","0:39"
"23201","Rick Graveson","loss","Adrian Serrano","EC 3 - Extreme Challenge 3Feb / 15 / 1997","Submission (Hammerlock)N/A","1","4:06"
"24187","Rick Graveson","loss","Tyrone Roberts","EC 1 - Extreme Challenge 1Nov / 23 / 1996","KO (Punches)N/A","1","3:59"
"25168","Rick Graveson","win","Bart Guyer","BATB 1 - Brawl at the Ballpark 1Sep / 01 / 1996","Submission (Guillotine Choke)N/A","1","1:50"
"26157","Rick Graveson","win","Bart Guyer","QCU 2 - Quad City Ultimate 2May / 11 / 1996","Submission (Rear-Naked Choke)N/A","1","5:56"
"27147","Rick Graveson","win","Mitko Getov","QCU 2 - Quad City Ultimate 2May / 11 / 1996","TKO (Submission to Punches)N/A","1","2:29"
"28142","Rick Graveson","loss","Nate Schroeder","BOTM 4 - Battle of the Masters 4Apr / 15 / 1996","Submission (Triangle Choke)N/A","1","2:34"
"29134","Rick Graveson","win","Bob Gholson","BOTM 4 - Battle of the Masters 4Apr / 15 / 1996","Submission (Rear-Naked Choke)N/A","1","3:36"
"30122","Rick Graveson","loss","Jeremy Horn","AF - Atlanta FightsMar / 01 / 1996","Submission (Armbar)N/A","1","1:54"
